d,z,tall,o3,pv,r,q,t,u,v,w,vo
-1.1796617e-06,439151.81,44781.02206,6.446681e-06,0.003920098,0.0008256595,3.80589975e-06,255.268,11.9595315,-9.3089638,0.000280102,1.39230576e-05
-1.4745424999999988e-06,438952.54,44760.702175,6.450247e-06,0.0040303455,0.0008816685,3.80813115e-06,255.1233,11.715364,-9.145946,-0.000176435675,1.6341253500000002e-05
2.1233040000000006e-06,438797.53,44744.895555,6.4455335e-06,0.0040951715,0.0009267295,3.8132807e-06,254.77331,10.175598,-9.38835165,0.000221018468,1.7328192e-05
-3.6833995e-06,438705.775,44735.53915,6.4177939e-06,0.0040999604999999,0.00088652,3.8214912e-06,254.657715,9.014218,-7.769716750000001,0.0002097394999999,1.97397825e-05
-6.51e-06,438760.56,44741.125665,6.51142375e-06,0.0042006545,0.000895571,3.82612235e-06,254.58571,8.048569350000001,-6.819764,0.0001622265,2.30417135e-05
1.5889137e-06,438795.94,44744.73342,6.50259155e-06,0.004225951,0.0008826139999999,3.8287294e-06,254.408535,8.1740695,-5.12777365,-0.0001777395,2.3870081e-05
1.06548913e-05,438709.75,44735.94449,6.5267692e-06,0.004233782,0.0008951755,3.8292333e-06,254.293035,7.507195,-6.5488715,0.000556022,2.3220113e-05
1.16162903e-05,438806.5,44745.810245,6.5056125e-06,0.0042185325,0.0008624925,3.832054500000001e-06,254.991475,7.69340775,-5.399296700000001,-0.0001174935,1.88768465e-05
-1.07344e-06,439007.66,44766.32285,6.44470405e-06,0.004146152,0.0007283435,3.83292225e-06,256.05865,6.7437795000000005,-3.94852065,0.0007383415,1.4159486e-05
6.076953499999999e-06,439349.54,44801.18491,6.435845e-06,0.0040663265,0.000669652,3.831738e-06,256.578745,8.5752965,-2.4903874,-0.0005585855,1.3744618e-05
-1.51e-05,439378.25,44804.11252,6.4397212e-06,0.004096727,0.0006676125,3.8332773e-06,257.41259,10.524435,-1.41120417,0.0001523429999999,1.42085544e-05
-1.889380375e-05,439551.53,44821.78216,6.43530965e-06,0.0041206205,0.000688353,3.83122145e-06,257.97886500000004,12.006004,-0.7314862500000001,-9.282500000000002e-05,1.5736578e-05
-1.58008341e-05,439665.97,44833.45179,6.41425505e-06,0.004097087,0.000668434,3.82683675e-06,258.44094,12.96313,-0.581980835,-0.0001561917649999,1.9807056e-05
9.8649025e-06,439924.04,44859.767605,6.409989e-06,0.0039946315,0.00064998,3.820938250000001e-06,258.445185,14.1622485,-1.5066045999999995,2.8661499999999983e-05,1.589903875e-05
5.382139999999999e-06,440134.81,44881.260165,6.3840925e-06,0.0038848135,0.0005931275,3.81642215e-06,258.74468,15.0531345,-2.6699865,-4.5504e-05,9.7941177e-06
-4.037271350000001e-06,439956.13,44863.03988,6.376923500000001e-06,0.0038743455,0.000602952,3.81359725e-06,258.848085,16.35668,-3.91168885,0.0001755805,9.0491433e-06
7.676445700000001e-06,439843.38,44851.54258,6.418621000000001e-06,0.0039294155,0.000590412,3.8097197e-06,258.782225,16.8724925,-6.736516,-0.0001291849999999,1.12548742e-05
2.019752215e-05,440061.78,44873.813175,6.40323325e-06,0.003899809,0.0005843505,3.80409765e-06,258.23657000000003,16.758964,-8.474645500000001,-0.000546966,9.2460995e-06
2.493129000000001e-06,439819.63,44849.12075,6.351796e-06,0.0039586805,0.0005584315,3.8001981e-06,258.40747,16.32131,-10.0422047,0.000924161,6.017181e-06
-5.9537105e-06,439755.09,44842.5395,6.3289275e-06,0.003917109,0.000551725,3.7950281e-06,258.13086,14.190313,-10.94391015,0.0003266285,5.495909575000001e-06
-2.103013e-05,439707.68,44837.705025,6.2644670000000005e-06,0.0039290374999999,0.0005244325,3.7914043e-06,258.306885,13.4486095,-8.7571755,-0.0009373305,1.09470527e-05
-2.792240395e-06,439072.4,44772.924495,6.38743735e-06,0.004052482,0.0006828435,3.7870795e-06,256.25622,12.952143,-10.79771415,-0.0001467059999999,1.44253335e-05
-1.875e-05,438785.57,44743.675975,6.34405765e-06,0.0042065475,0.0007157359999999,3.79071115e-06,256.480655,12.535872,-11.5471787,-0.000659112,2.1821538500000003e-05
-3.3029999999999926e-08,438404.25,44704.792155,6.410092499999999e-06,0.004110288,0.000901917,3.79802535e-06,255.284435,9.25350615,-12.5918605,-0.0003320909999999,2.19522745e-05
-2.5678330000000013e-06,438162.0,44680.08953,6.390981999999999e-06,0.004047956,0.0009524295,3.81138435e-06,255.49635,7.61123025,-11.396576,0.000367726,2.12558445e-05
1.4717857e-05,438092.78,44673.031055,6.398205299999999e-06,0.0039664015,0.0009439595,3.81589555e-06,254.885205,7.716126149999999,-8.820097,-0.00030632,1.60875605e-05
1.28754585e-05,437889.63,44652.31552,6.42951875e-06,0.0039376465,0.0009647345,3.8183917000000005e-06,254.37204000000003,6.409916000000001,-6.82336185,0.000331967575,8.181473e-06
-8.92e-06,437725.68,44635.597275,6.3847173500000005e-06,0.004164858,0.000838101,3.8226668e-06,255.05923,6.9681072,-6.5376943,0.0007052375,1.6547939e-05
5.934977499999998e-06,437763.22,44639.42529,6.455272e-06,0.004197165,0.000779802,3.82512315e-06,254.92065,7.881694250000001,-7.691040149999999,-0.000747834,2.29633225e-05
4.1619180000000004e-07,437956.96,44659.18127,6.4525704e-06,0.004220258,0.0007942725,3.827765e-06,255.110145,7.53985625,-7.56951675,3.39085e-05,2.3574452e-05
8.42970625e-06,437663.13,44629.21895,6.525689e-06,0.004179547,0.0008898695,3.8257226e-06,254.146485,7.297993,-6.49247815,0.000713193,1.9740619e-05
-8.118426599999999e-06,438035.79,44667.21969,6.441836250000001e-06,0.0043066145,0.000746026,3.83130965e-06,255.802505,6.43194725,-6.17259745,0.0003431975,2.13839665e-05
-7.1150000000000005e-06,438011.905,44664.7841,6.46202935e-06,0.004443199,0.0007484885,3.83097995e-06,256.088105,5.672663099999999,-4.6574393,0.00013594,2.29681025e-05
-6.0360477e-06,438215.41,44685.535835,6.4554155e-06,0.004718675,0.000739431,3.8318117e-06,256.72803,7.71265,-2.64039045,-1.7361999999999987e-05,3.05658765e-05
-4.222843000000001e-06,438459.96,44710.472995,6.4391259e-06,0.0048959955,0.000726092,3.8332196e-06,257.60425,8.0916856,-2.058239,8.51957085e-05,3.54598025e-05
-2.4323425e-06,438651.35,44729.989345,6.3920578e-06,0.0048377725,0.0006101845,3.835492e-06,258.196485,10.2592195,-2.0210271,-0.000174569,3.82984725e-05
5.674681999999999e-06,438804.125,44745.568055,6.42566375e-06,0.0046473295,0.0006402195,3.832471999999999e-06,258.05571000000003,10.37947225,-1.53154,6.275900000000001e-05,3.1164679999999995e-05
-6.1472915e-06,439010.69,44766.631825,6.364681e-06,0.0044378925,0.0005345295,3.836612e-06,258.987665,12.100439,-1.88315532,0.000152386,2.9531926e-05
9.4139115e-06,439243.87,44790.40957,6.40530915e-06,0.0041518885,0.0005606215,3.8331964e-06,258.31629,13.599407,-2.93302345,-0.000778788,2.3277164000000003e-05
1.5635684e-06,439073.15,44773.00097,6.43237535e-06,0.0040170829999999,0.0006190295,3.8304134e-06,257.95172,13.73148975,-4.43241035,0.000311878617,1.796088625e-05
-1.529e-05,438824.0,44747.594745,6.46098415e-06,0.0041295034999999,0.0005992965,3.83061525e-06,258.22599,15.59102,-5.763536200000001,-0.0001411874999999,2.3814876e-05
6.293478e-06,439197.5,44785.681145,6.446076250000001e-06,0.0044229085,0.0006616629999999,3.828402e-06,257.799105,16.321076,-7.3597105,-0.00077277,3.31638e-05
3.278001500000001e-06,439112.44,44777.00744,6.39018575e-06,0.0045651435,0.0006416855,3.83152425e-06,258.085825,15.7584955,-9.092679,0.0008181379999999,3.27954185e-05
2.56295505e-05,438955.5,44761.00401,6.3811105e-06,0.0043446644999999,0.000681751,3.8323483e-06,257.292515,13.812636,-13.08501375,0.0001340189999999,2.5040679e-05
5.807299999999981e-07,438754.65,44740.523015,6.27092365e-06,0.0041155675,0.000545888,3.839878e-06,258.63038,10.93117575,-14.725892,0.0013397934999999,1.60350065e-05
-3.350510000000002e-06,438676.35,44732.538635,6.2362002e-06,0.0041035134999999,0.0005292945,3.8409153e-06,258.375485,7.73138,-13.852397,-0.000974486,2.1290949e-05
