datetime,peak_power,loss
2025/10/5 20:00,-79.65575051,1.095750509
2025/10/5 21:00,-80.75095344,2.190953444
2025/10/5 22:00,-81.64317014,3.083170143
2025/10/5 23:00,-81.47347586,2.913475865
2025/10/6 0:00,-81.62608382,3.066083818
2025/10/6 1:00,-81.82053199,3.260531987
2025/10/6 2:00,-81.79116563,3.231165626
2025/10/6 3:00,-81.30847891,2.748478911
2025/10/6 4:00,-80.91197078,2.35197078
2025/10/6 5:00,-80.43064895,1.870648945
2025/10/6 6:00,-79.99848768,1.438487681
2025/10/6 7:00,-79.77292288,1.212922882
2025/10/6 8:00,-79.61648208,1.056482081
2025/10/6 9:00,-79.43321549,0.873215487
2025/10/6 10:00,-79.4221166,0.862116603
2025/10/6 11:00,-79.47590279,0.91590279
2025/10/6 12:00,-79.46376465,0.903764654
2025/10/6 13:00,-79.58479102,1.024791022
2025/10/6 14:00,-79.55428557,0.994285566
2025/10/6 15:00,-79.45381951,0.893819506
2025/10/6 16:00,-79.47158431,0.911584309
2025/10/6 17:00,-79.44482289,0.884822892
2025/10/6 18:00,-79.41932526,0.859325261
2025/10/6 19:00,-79.42888065,0.868880645
2025/10/6 20:00,-79.40950311,0.849503111
2025/10/6 21:00,-79.45345584,0.893455844
2025/10/6 22:00,-79.47345451,0.913454511
2025/10/6 23:00,-79.43590773,0.875907734
2025/10/7 0:00,-79.49539021,0.935390214
2025/10/7 1:00,-79.50943955,0.949439553
2025/10/7 2:00,-79.61519452,1.055194521
2025/10/7 3:00,-79.6825403,1.122540299
2025/10/7 4:00,-79.59634546,1.036345465
2025/10/7 5:00,-79.53377478,0.973774779
2025/10/7 6:00,-79.52514517,0.965145171
2025/10/7 7:00,-79.51004523,0.950045227
2025/10/7 8:00,-79.52107923,0.961079227
2025/10/7 9:00,-79.53337774,0.973377742
2025/10/7 10:00,-79.58192285,1.021922851
2025/10/7 11:00,-79.61710587,1.057105875
2025/10/7 12:00,-79.53573792,0.975737917
2025/10/7 13:00,-79.52009269,0.960092687
2025/10/7 14:00,-79.50134836,0.941348359
2025/10/7 15:00,-79.5435279,0.983527902
2025/10/7 16:00,-79.54689693,0.986896928
2025/10/7 17:00,-79.50653978,0.946539776
2025/10/7 18:00,-79.4169939,0.856993897
2025/10/7 19:00,-79.48547784,0.925477839
2025/10/7 20:00,-79.58320814,1.023208142
2025/10/7 21:00,-79.46916796,0.909167964
2025/10/7 22:00,-79.56706203,1.007062034
2025/10/7 23:00,-79.5331477,0.973147698
2025/10/8 0:00,-79.43051531,0.870515309
2025/10/8 1:00,-79.4418606,0.881860599
2025/10/8 2:00,-79.59358284,1.033582835
2025/10/8 3:00,-79.45330104,0.893301042
2025/10/8 4:00,-79.47705009,0.917050087
2025/10/8 5:00,-79.73734235,1.177342349
2025/10/8 6:00,-79.93654148,1.376541485
2025/10/8 7:00,-80.915896,2.355896004
2025/10/8 8:00,-80.82655086,2.26655086
2025/10/8 9:00,-80.02713451,1.467134509
2025/10/8 10:00,-79.90929204,1.349292043
2025/10/8 11:00,-80.54512567,1.985125666
2025/10/8 12:00,-80.22293037,1.662930366
2025/10/8 13:00,-81.29803435,2.738034352
2025/10/8 14:00,-82.17930431,3.619304312
2025/10/8 15:00,-82.79383621,4.23383621
2025/10/8 16:00,-82.66834853,4.108348526
2025/10/8 17:00,-82.32592534,3.765925342
2025/10/8 18:00,-82.50323192,3.943231917
2025/10/8 19:00,-83.05246097,4.492460966
2025/10/8 20:00,-83.26312836,4.70312836
2025/10/8 21:00,-82.56797222,4.007972221
2025/10/8 22:00,-81.90343119,3.343431195
2025/10/8 23:00,-81.92476945,3.364769451
2025/10/9 0:00,-81.64548108,3.085481084
2025/10/9 1:00,-81.87321686,3.313216865
2025/10/9 2:00,-81.83474742,3.274747421
2025/10/9 3:00,-83.02365634,4.463656344
2025/10/9 4:00,-82.76235006,4.20235006
2025/10/9 5:00,-82.3970572,3.837057198
2025/10/9 6:00,-82.51528447,3.95528447
2025/10/9 7:00,-81.66892286,3.108922858
2025/10/9 8:00,-81.83968992,3.279689925
2025/10/9 9:00,-81.52676001,2.966760007
2025/10/9 10:00,-80.91882473,2.358824728
2025/10/9 11:00,-80.85135896,2.291358958
2025/10/9 12:00,-82.37516209,3.815162092
2025/10/9 13:00,-82.83883486,4.278834864
2025/10/9 14:00,-81.7470488,3.187048797
2025/10/9 15:00,-80.85973661,2.299736612
2025/10/9 16:00,-80.4400838,1.880083803
2025/10/9 17:00,-80.14258963,1.582589626
2025/10/9 18:00,-79.65880083,1.098800833
2025/10/9 19:00,-79.61927248,1.059272483
2025/10/9 20:00,-79.6345387,1.074538702
2025/10/9 21:00,-80.04958369,1.489583687
2025/10/9 22:00,-81.07109566,2.511095663
2025/10/9 23:00,-80.6584743,2.098474297
2025/10/10 0:00,-80.72700229,2.16700229
2025/10/10 1:00,-80.29480132,1.734801323
2025/10/10 2:00,-80.54381454,1.983814535
2025/10/10 3:00,-79.9577401,1.397740098
2025/10/10 4:00,-79.65956168,1.099561679
2025/10/10 5:00,-79.49506896,0.93506896
2025/10/10 6:00,-79.37446508,0.814465083
2025/10/10 7:00,-79.32587411,0.765874113
