datetime,peak_freq,peak_power,peak_phase_rad,bandwidth_30db,bandwidth_20db,bandwidth_3db,dynamic_range,average_power_dbm,noise_floor_dBm,snr_db,centroid_freq,variance_freq,skewness_freq,kurtosis_freq,fluctuation_coeff,papr_linear,spectral_concentration,envelope_std,envelope_rms,linear_mean_deg,linear_std_deg,doppler_spread,avg_phase_change_rate_deg_per_sample,phase_rate_rms_deg,drift_rate_rms,avg_freq_offset
2025-09-30 14:20:00,492.5691489361702,-79.71451556149191,-0.1614944407032006,723.0691489361702,8.547872340425531,0.5797872340425532,79.97078596271231,-76.33277765304955,-127.97833152049701,48.26381595900511,420.93873169889457,188268.2497519257,-2.8085842927091127,15.5761088102152,0.48460984214533964,3.4647671973452114,0.4824434165329981,8.470636923854875e-06,3.4107802893181956e-05,-0.8083558177645785,9.524316915397383e-07,266.2632468353347,45.01205665966241,201128.10932804554,1736559.2051266504,383.13358093229544
2025-09-30 14:30:00,517.9933110367894,-79.69853267014963,0.03744302438187381,677.6321070234113,8.762541806020067,0.6086956521739131,79.97265292427014,-76.33216268715007,-127.99416162536818,48.295628955218554,443.3291078965142,191482.94024506237,-2.890951659452163,15.660913444482963,0.4852715622791094,3.4586524014448696,0.48706654493280466,8.476882584270538e-06,3.4110401640948815e-05,5.032133292692242,9.62555219782251e-07,266.280231045634,47.20047118322414,209285.67591484683,1740419.8516655753,408.75258570480236
2025-09-30 14:40:00,537.2909698996656,-79.65765860732208,-0.2184253558475964,673.4882943143813,8.82943143812709,0.5484949832775919,80.50006357236286,-76.3182987387221,-127.98995935279845,48.33230074547638,460.8202156583811,192801.19600022596,-2.955198949712565,15.810599699351945,0.48404489226639785,3.471752663745724,0.4900679632822424,8.470725723564275e-06,3.416510359776434e-05,3.7220917266856737,9.559195276129582e-07,265.8015510454207,48.87715365151003,215409.48425104463,1738332.4001082384,428.06073477792927
2025-09-30 14:50:00,559.7919463087248,-79.80782995044349,-0.07170166795006316,556.0201342281879,8.929530201342281,0.5838926174496645,80.25869061715578,-76.31046657534097,-128.00112019419205,48.19329024374854,481.07722927621586,195012.74368429172,-3.0257234763500835,15.94326824556876,0.48313869499724454,3.470617640034679,0.4700067774390659,8.464373163702318e-06,3.4195877390351616e-05,-3.075618395143266,1.0451774407111192e-06,265.4087248411231,50.8447771113006,222586.21997243477,1732749.0644693985,450.40594905488155
2025-09-30 15:00:00,576.5570469798657,-79.730239707257,-0.16036264639429462,574.006711409396,8.90268456375839,0.5838926174496645,79.9831669881409,-76.30450360101398,-128.00337472222049,48.27313501496348,496.0768498474895,196724.8965234443,-3.0667401701619603,16.00732354313292,0.48352462921863293,3.4556678730885806,0.4794074246964829,8.476189400481826e-06,3.421929373081808e-05,4.185130911512785,9.005000498101913e-07,264.9825217167257,52.30329420870097,228006.89656118615,1733878.2961668067,467.2286754917155
2025-09-30 15:10:00,607.0200668896321,-79.70068547323221,0.07546126523636303,475.6488294314381,10.274247491638796,0.5618729096989966,79.5968875947553,-76.30894449490944,-128.003202250893,48.30251677766078,522.8073068202657,201331.77062880277,-3.1453718269692907,16.0674554823212,0.48324194568623824,3.4332631333468973,0.48152309777608554,8.46550032654839e-06,3.420169226733294e-05,3.984440951608862,9.520138863872739e-07,265.3674523832859,54.994934324495105,238029.3736472542,1737523.6327333963,497.5816518379531
2025-09-30 15:20:00,636.6946308724832,-79.6132331612575,-0.037903616027885605,490.60738255033556,11.446308724832214,0.6040268456375839,80.09048507457535,-76.31257952902779,-128.02954769143173,48.41631453017421,549.0123899778077,205168.52614908974,-3.214720421043955,16.158929163252672,0.48318026336870157,3.447751676686644,0.49449779357106466,8.468287346118404e-06,3.418742543234984e-05,3.787827452750425,9.324620962542392e-07,266.2724282339087,57.62743639476302,247877.2843564934,1738364.245148064,526.9516724289027
2025-09-30 15:30:00,662.3277591973244,-79.62530058507353,-0.1500139113991448,431.12040133779266,8.929765886287626,0.6187290969899666,80.54262455850917,-76.2805319379824,-127.9820439760969,48.356743391023365,571.45853959803,209435.047901434,-3.2651554954135884,16.17727507097578,0.48402339027507985,3.4601986692162177,0.4891565883860838,8.504858773944162e-06,3.4313933134896035e-05,-2.824916756038093,9.044139342201067e-07,266.7886096243392,59.912370190849394,256481.08832550712,1744247.349687457,552.5816395891705
2025-09-30 15:40:00,668.8127090301003,-79.95135228354732,0.2265230688216813,432.2040133779264,78.33444816053512,0.5117056856187291,80.1375016283593,-76.48954687608946,-127.96616126344172,48.01480897989438,565.2887925809335,231742.95155663206,-3.1875639604802988,15.683885808416392,0.4987033960255859,3.6058354611090917,0.48505872762419083,8.489866712234769e-06,3.368984603212708e-05,6.9919329062534485,9.542375145089646e-07,287.0810365359803,60.990813641832595,261817.74211593796,1820410.2271276277,547.2494104975917
2025-09-30 15:50:00,667.4731543624162,-79.71731731170755,0.1901396729955077,327.4765100671141,11.134228187919463,0.5906040268456376,80.67210905790014,-76.29128598555124,-127.97677061115283,48.25945329944526,575.925329354149,211130.11668777603,-3.2660174681962273,16.11436129626524,0.4855010095430248,3.4679771840722657,0.4787236996630873,8.525364608053597e-06,3.4271666097996e-05,-0.77941225644274,9.244352223990271e-07,267.10355228991625,60.37594721458046,258295.56493906942,1749285.2384639108,557.8935697542818
