d,z,tall,o3,pv,r,q,t,u,v,w,vo
-7.690845625e-06,233227.17,23782.552655,7.148672e-06,5.4529028e-05,0.878625825,3.072315825e-06,218.4927225,4.9735319250000005,2.688695525,0.00321827025,-1.0521e-05
-6.1400000000000005e-06,233262.5175,23786.1571,7.115210625e-06,5.487569125e-05,0.87714278,3.0710471e-06,218.29773,5.4969422,3.1994358625,-0.0034216794999999,-9.788e-06
-1.2375e-05,233239.2675,23783.7862575,7.111530999999999e-06,5.521854825e-05,0.8808887000000001,3.070625725e-06,218.22601,5.92047695,2.80377013,0.003561983,-9.48e-06
-7.16139375e-06,233317.325,23791.7459075,7.096530225e-06,5.533761575e-05,0.8767619449999999,3.07060555e-06,218.07305,6.351180425,2.643393825,-0.0026245465,-6.3626602500000005e-06
-4.4853015e-06,233288.64,23788.82085,7.0611454e-06,5.5101191e-05,0.893488565,3.070505075e-06,218.0104875,6.56097085,2.50063675,0.0008318325,-6.3930000000000005e-06
-9.69296e-07,233257.5775,23785.65336,7.0126765e-06,5.490138925e-05,0.928365085,3.069786525e-06,217.7857175,6.918275250000001,2.588377,-0.003821541,-6.11132375e-06
-2.1831423e-06,233304.25,23790.4126275,7.0107349e-06,5.511095825e-05,0.9571000525,3.069860675e-06,217.7803475,6.498640525,2.4962728,0.001193813,-6.363729875e-06
-6.9205e-06,233328.4075,23792.87601,7.05381945e-06,5.57925165e-05,0.9542495825,3.071335225e-06,218.1941675,5.737868275,1.97718575,0.005506754,-7.9838275e-06
-1.45815845e-05,233498.485,23810.2190875,7.12559305e-06,5.66452005e-05,0.9108915225,3.073125975e-06,218.80294,5.334654775,1.7924560125,0.0043792985,-8.4725e-06
-6.57e-06,233579.905,23818.521615,7.116342425e-06,5.68764195e-05,0.8745998374999999,3.0718036e-06,218.83103,5.30155875,1.8761979,-0.00049674225,-5.305e-06
-3.9987938e-06,233642.5,23824.90453,7.12262825e-06,5.5602624e-05,0.86829187,3.070345875e-06,218.77223,4.99510745,2.7837272100000003,0.0002266945,-5.085e-06
-2.1493599999999962e-07,233673.64,23828.079925,7.1346966e-06,5.548360425e-05,0.8646019575,3.068295675e-06,218.659265,5.115528375,3.18724925,0.00170900575,-3.051807875e-06
7.910912025e-06,233686.83,23829.424935000003,7.099130075e-06,5.51507265e-05,0.88643228,3.065321175e-06,218.393535,5.154681025,3.21575865,-0.002903202,-3.29765605e-06
6.88565975e-06,233745.2225,23835.37931,7.10355555e-06,5.481138625e-05,0.91566385,3.0631013e-06,218.35824,5.799064400000001,2.909042675,-0.0003542364999999,-4.98515725e-06
5.514653999999999e-06,233677.6275,23828.4865375,7.1025436e-06,5.42705775e-05,0.9452779925,3.06037415e-06,218.1825725,6.236205200000001,2.8032412825,0.0001986579999999,-7.412003175e-06
8.711874e-06,233609.5125,23821.54074,7.072765075e-06,5.322202225e-05,0.9482489175,3.057093625e-06,217.86774,6.7591048,2.163211475,-0.00288908675,-1.0785e-05
3.64104525e-06,233506.47,23811.03333,7.0673104500000005e-06,5.26401525e-05,0.944604255,3.05498795e-06,217.798775,6.4370102,1.7400618,0.0034243299999999,-1.30025e-05
8.404063e-07,233503.0625,23810.6858625,7.077517725e-06,5.272568925e-05,0.92909134,3.05395365e-06,217.86069,6.749496725,1.35720325,-0.00067076925,-1.2935e-05
