peak_power,u10,v10,d2m,t2m,msl,sp,istl1,istl2,istl3,skt,u100,v100,u10n,v10n,i10fg,flsr,ishf,alnid,alnip,aluvd,aluvp,cbh,hcc,lcc,mcc,tcc,tciw,tclw,viiwd,vilwd,viiwe,vilwe,viiwn,vilwn,crr,ilspf,lsrr,ptype,tcrw,vigd,viked,vimad,vimdf,viozd,vithed,vited,vige,vithee,vikee,vimae,vioze,vitee,viwve,viec,vike,vima,vimat,vign,vithen,viken,viman,viozn,viten,viwvn,vipie,vipile,vit,vithe,vitoe,blh,chnk,cape,dctb,fal,fsr,zust,iews,ie,inss,kx,dndza,dndzn,src,tco3,tcslw,tcw,tcwv,totalx,tplb,tplt,deg0l,tp,cdir,uvb,slhf,ssr,ssrc,str,strc,sshf,ssrdc,ssrd,strdc,strd,tisr,tsr,tsrc,ttr,ttrc,fdir,cp,lsp,lspf,vimd,bld,lgws,ewss,gwd,mgws,nsss,d,cc,z_3,tall,o3,pv,r,ciwc,clwc,q,crwc,cswc,t,u,v,w,vo,d_4,cc_4,z_4,tall_4,o3_4,pv_4,r_4,ciwc_4,q_4,cswc_4,t_4,u_4,v_4,w_4,vo_4,d_5,z_5,tall_5,o3_5,pv_5,r_5,q_5,t_5,u_5,v_5,w_5,vo_5,d_6,z_6,tall_6,o3_6,pv_6,r_6,q_6,t_6,u_6,v_6,w_6,vo_6,d_7,z_7,tall_7,o3_7,pv_7,r_7,q_7,t_7,u_7,v_7,w_7,vo_7
-79.57012683684668,0.90812767,-1.4368429,285.9121,291.60278,101126.875,100093.81,271.45996,271.45996,271.45996,292.73584,0.97509974,-2.6469784,0.9837386,-1.6056347,4.398823,-5.442545,-35.94908,0.19468176,0.17586952,0.06735563,0.0633896,9835.383,0.9992448,0.0,0.0,0.9992448,0.0035772868,0.0,-2.7245078e-06,1.5400525e-07,0.19345033,-0.00018501282,-0.0772962,0.0005950928,0.0,0.0,0.0,0.0,0.0,-2242.2683,-10.392243,-0.0027184968,0.000103215934,9.213668e-09,1183.3005,-726.25195,18712627000.0,42812150000.0,198763260.0,182454.88,0.059047952,61858623000.0,53.969086,2294.2932,4247141.0,10197.609,0.00075161876,-7035403300.0,-23301430000.0,-77790900.0,-93828.44,-0.0039688684,-30613367000.0,-79.39497,2630575600.0,2670829300.0,2604884.0,2621025000.0,2675066600.0,73.253006,0.017999023,1.9738255,-9.536743e-07,0.13611346,0.49602205,0.13721013,0.052101083,-2.4625624e-05,-0.06973368,13.5742855,0.34951317,0.49571645,7.841882e-06,0.0064098947,0.0,16.118134,16.111893,40.639072,28.441055,100.50363,3416.5457,0.0,407077.06,60129.02,-126572.75,521965.7,541337.5,-299418.75,-277978.88,-49317.254,637565.6,607428.6,1100828.0,1118702.0,1183892.0,860224.3,892489.7,-937292.2,-977583.2,336739.62,0.0,0.0,0.0,0.2297818,7657.168,267.5652,261.4309,1500.1174,-221.33725,-244.62988,1.58971525e-06,0.0,47575.78532666666,4851.379964183333,1.3172557766666665e-07,3.393342666666667e-07,18.18404613333333,0.0,0.0,0.001653457354,0.0,3.1804641666666665e-08,265.11736,10.895490003333334,-9.814423333333334,0.37637455,9.128478666666669e-06,-7.376627571428571e-06,0.2283740714285714,129934.94857142855,13249.67737,2.926232557142857e-07,3.4451716e-06,47.45885342857143,1.1649434e-06,5.517637062857143e-05,7.15359e-08,216.48895285714283,47.913044285714285,-17.153702514285715,0.0171759787142857,-5.343727721428571e-05,-7.690845625e-06,233227.17,23782.552655,7.148672e-06,5.4529028e-05,0.878625825,3.072315825e-06,218.4927225,4.9735319250000005,2.688695525,0.00321827025,-1.0521e-05,-2.542807333333333e-06,327916.9,33438.21794333333,1.3335934333333332e-05,0.0004233316666666,0.0524445136666666,3.3775049666666665e-06,231.0468233333333,2.03410301,0.7373839866666666,0.0009602566666666,-8.056666666666667e-06,-1.4663696e-05,440738.84,44942.854085,6.43516025e-06,0.00364844,0.000645752,3.78321415e-06,257.73562,9.2458935,5.01136875,0.0003387925,-3.6700421e-06
-79.48337966126218,0.63945216,-1.133399,286.7788,293.1997,101152.875,100118.31,271.4602,271.45972,271.45972,297.58545,1.0057535,-1.6606388,0.7507185,-1.3642635,4.0060205,-5.444957,-62.514572,0.1946404,0.17583722,0.06737554,0.06340307,9645.215,1.0,0.0,0.0,1.0,0.005439263,0.0,-1.8371211e-06,-3.604885e-07,0.30159694,-0.00032043457,-0.089327455,0.0007171631,0.0,0.0,0.0,0.0,0.0,-2282.485,-1.5409641,-0.0017356428,9.270462e-05,1.2817065e-08,1630.4824,-582.97705,18406710000.0,40945345000.0,187403310.0,175464.31,0.057780456,59663150000.0,49.3929,2325.7493,4041835.0,10200.07,0.0002680507,-6245244000.0,-21330370000.0,-65001316.0,-85611.625,0.00060569844,-27817472000.0,-70.30653,2632246500.0,2672581600.0,2606548.0,2622697500.0,2676645400.0,131.88731,0.01799947,0.7484948,4.9897385,0.13611346,0.49583697,0.09545636,0.03592537,-4.5649314e-05,-0.061461616,13.174277,0.40959483,0.54830706,2.7772676e-06,0.006366547,0.0,16.1566,16.146835,39.107445,83.80328,143.84,3417.4453,0.0,968768.25,127130.5,-304265.0,1078021.0,1116650.0,-372297.2,-343447.25,-166988.31,1298214.0,1249383.0,1120532.0,1147284.0,2037705.0,1589901.0,1635942.0,-932601.94,-1002953.4,843362.8,0.0,0.0,0.0,0.023447812,7816.84,235.25146,198.52194,1023.4636,-181.80832,-206.76096,2.6125983e-06,0.0,47621.09112333334,4855.999869776667,1.26656715e-07,3.521131133333333e-07,16.420831466666666,0.0,0.0,0.0017160917613333,0.0,1.1129825e-07,265.39206,9.209608206666667,-9.884291066666666,0.3122756956666667,4.370358e-06,-4.169234857142855e-06,0.3154085271428571,130006.84857142856,13257.00913,2.896908971428571e-07,3.188924142857143e-06,51.986354142857145,3.0793216785714287e-06,5.539020314285715e-05,2.214155714285714e-07,216.1445642857143,47.34066342857143,-14.591276328571428,-0.021619832,-6.189188871428572e-05,-6.1400000000000005e-06,233262.5175,23786.1571,7.115210625e-06,5.487569125e-05,0.87714278,3.0710471e-06,218.29773,5.4969422,3.1994358625,-0.0034216794999999,-9.788e-06,8.399033333333332e-07,328040.96,33450.86854333334,1.3358584666666669e-05,0.0004223533333333,0.0482135609999999,3.3775416666666666e-06,231.34269,1.669186396666667,0.8981985913333332,0.0007748259999999,-5.11e-06,-2.305e-05,440983.975,44967.850900000005,6.411004500000001e-06,0.003778343,0.0006327925,3.7794602e-06,258.57623,9.5414095,7.087397,-0.0001718364999999,3.80101215e-06
-79.5176491971834,0.3710019,-1.1483479,285.37817,299.4463,101145.44,100112.875,271.45996,271.45996,271.4602,300.8911,0.60192734,-1.4944792,0.45032805,-1.417654,3.8040752,-5.446004,-71.66449,0.1946069,0.17581576,0.06739855,0.06342256,9895.84,1.0,0.0,0.0,1.0,0.015621636,0.0,-4.234693e-06,1.1201873e-06,0.81702244,-0.0008087158,-0.13082361,0.001083374,0.0,0.0,0.0,0.0,0.0,-1706.0598,112.26152,-0.001580647,7.296962e-05,1.2859843e-08,1250.0867,-120.94029,17914874000.0,38951485000.0,168417340.0,167689.31,0.05671198,57150560000.0,47.219482,1700.7954,3737008.0,10199.559,0.00027240417,-5289333000.0,-18778340000.0,-49514144.0,-75043.125,0.0038769643,-24274640000.0,-62.43242,2633100300.0,2673467400.0,2607385.0,2623534300.0,2677206300.0,250.01967,0.01800057,1.197382,73.88791,0.13611346,0.49575943,0.07484329,0.021962915,-6.197185e-05,-0.060418665,12.550174,0.2852738,0.35554534,5.4843366e-07,0.0063225217,0.0,16.185944,16.160934,37.401176,155.39693,223.49153,3488.8767,0.0,1499791.0,186349.81,-501950.0,1527977.0,1630918.0,-427064.2,-406912.94,-251434.19,1889576.0,1769187.0,1151453.0,1187050.0,2740478.0,2158091.0,2268316.0,-888521.75,-1029626.44,1179518.0,0.0,0.0,0.0,-0.02609041,8132.0977,165.13939,110.968765,898.89624,-130.19846,-176.77303,3.8072627833333335e-06,0.0,47643.63384333334,4858.298587541666,1.1932536333333334e-07,2.76428555e-07,14.33843905,0.0,0.0,0.0016419106349999,0.0,2.385186416666667e-07,265.81860666666665,7.69450526,-9.59691875,0.21387423,-1.0217130333333333e-05,2.155656857142857e-05,0.3645120285714285,130042.91142857145,13260.686518571429,2.844101828571429e-07,3.0845032993857143e-06,54.801284571428575,7.963775e-06,5.308940718571429e-05,8.720249428571428e-07,215.74214428571423,45.96250714285714,-12.069895397142858,-0.1116339888571428,-7.472065666714285e-05,-1.2375e-05,233239.2675,23783.7862575,7.111530999999999e-06,5.521854825e-05,0.8808887000000001,3.070625725e-06,218.22601,5.92047695,2.80377013,0.003561983,-9.48e-06,1.4631569666666664e-05,328038.4733333333,33450.61497333334,1.3375981666666665e-05,0.00041672,0.0465650183333333,3.3765821666666665e-06,231.0828,1.7479898233333333,1.7661939333333334,-0.0005430096666666,-4.32412e-06,-1.2411100000000118e-07,441289.315,44998.986915,6.386364149999999e-06,0.0038276029999999,0.0006240055,3.7727636e-06,259.258535,9.9950615,8.378491,5.428099999999999e-05,9.9715995e-06
-79.54436859772413,-0.0050364695,-1.0148277,285.46143,299.7766,101167.69,100137.94,271.4602,271.45996,271.45996,303.20093,0.15033406,-1.3018723,-0.003344936,-1.2866364,3.7177162,-5.446123,-68.42694,0.19457775,0.17577428,0.067415476,0.06343883,9599.949,1.0,0.0,0.0,1.0,0.03502447,0.0,8.316432e-07,-8.966765e-08,1.6546736,0.000289917,-0.055381153,9.1552734e-05,0.0,0.0,0.0,0.0,0.0,-1974.1665,92.4877,0.003033394,0.000106203544,1.0436974e-08,2605.9966,1049.0801,17233433000.0,36578050000.0,143997200.0,158216.56,0.05486406,54062460000.0,42.690277,2008.0178,3347622.0,10202.066,-0.00028203847,-4059301000.0,-15085031000.0,-34332972.0,-60055.23,0.008262377,-19302320000.0,-50.540146,2635437600.0,2675891000.0,2609696.0,2625877200.0,2679259000.0,406.1858,0.018000886,0.72354937,231.16211,0.13611346,0.49574548,0.06796509,-0.0017763767,-7.100092e-05,-0.051115297,11.958799,0.20959693,0.2352022,7.155904e-08,0.0062830932,0.0,16.258636,16.199646,36.42371,288.58203,376.65503,3490.5518,0.0,1899716.0,220498.12,-654035.56,1751887.0,2011248.0,-436857.0,-447078.94,-280135.75,2326877.0,2029867.0,1181930.0,1242961.0,3244441.0,2477860.0,2727634.0,-765701.9,-1048198.3,1170926.0,0.0,0.0,0.0,-0.036104452,8864.594,69.56377,46.57199,423.24976,-57.20842,-144.74924,-1.050169708333333e-06,0.0,47706.49677666667,4864.708822716667,1.1439602583333337e-07,2.1418193333333338e-07,13.139763466666668,0.0,0.0,0.0015742215638333,0.0,1.2480045500000002e-06,266.29616000000004,6.598733931666668,-8.626306833333333,0.205798448,-2.7588012e-05,2.359543394285714e-05,0.4236609702857143,130110.31142857144,13267.559404285714,2.741806142857143e-07,3.22764295e-06,54.83463585714286,1.2343260342857144e-05,4.912856394285715e-05,1.5803253042857144e-06,215.51256285714288,44.180868857142855,-9.960778745714284,-0.0261181668571428,-3.30663279e-05,-7.16139375e-06,233317.325,23791.7459075,7.096530225e-06,5.533761575e-05,0.8767619449999999,3.07060555e-06,218.07305,6.351180425,2.643393825,-0.0026245465,-6.3626602500000005e-06,-9.536109466666668e-06,328209.79333333333,33468.08475333333,1.3368846333333334e-05,0.0004197113333333,0.0408334343333333,3.380208e-06,232.20846333333336,1.512620173333333,3.6908286333333336,0.0005976423333333,-4.993604666666667e-06,7.0576020000000005e-06,441912.44,45062.52798,6.3387155e-06,0.0037275325,0.0005203965,3.7667987e-06,259.73889,9.174634,9.4299835,-3.399999999999324e-07,7.186916000000001e-06
-79.48827474368332,-0.017556865,-0.94107807,285.51587,300.12964,101120.875,100092.81,271.45996,271.45996,271.45996,303.6809,0.110530615,-1.2123938,-0.020949237,-1.1904001,3.7278376,-5.4460173,-68.63585,0.19453502,0.17574984,0.067441344,0.06345838,9140.824,1.0,0.0,0.0,1.0,0.05211078,0.0,-1.0843264e-05,-7.345165e-07,2.2404118,-0.0007171633,0.031940486,-0.00010681154,0.0,0.0,0.0,0.0,0.0,-1423.2222,59.998917,-0.00066440715,3.347425e-05,1.7373547e-09,996.67554,-332.83154,16973322000.0,35295410000.0,135966460.0,153221.0,0.055605926,52514427000.0,44.03383,1479.1716,3171442.0,10197.656,-0.0013823377,-3365915000.0,-12390739000.0,-28947372.0,-49583.402,0.010507997,-15883451000.0,-39.816635,2635517700.0,2676154600.0,2609775.0,2625949200.0,2679353000.0,537.59546,0.017999228,0.1999554,366.31055,0.13611346,0.4957434,0.07041949,0.000678587,-7.8184006e-05,-0.04524455,11.742888,0.027743597,0.028402805,5.9785847e-09,0.0062578246,0.0,16.36792,16.274933,36.503944,404.1809,460.38477,3636.6091,0.0,2119110.0,238779.38,-760124.3,1865674.0,2218034.0,-439665.75,-466819.0,-285782.12,2564357.0,2158234.0,1203960.0,1280666.0,3515086.0,2658354.0,2976007.0,-680700.25,-1057043.0,1160302.0,0.0,0.0,0.0,-0.12631273,9956.234,30.948685,20.37059,250.18001,-26.96701,-120.75432,-5.626144016666673e-07,0.0,47708.03773333333,4864.86595643,1.123830106666667e-07,1.885783241666667e-07,12.980272416666663,0.0,0.0,0.0015270950743333,0.0,3.2311496016666667e-06,266.56292833333333,5.838636978333334,-7.544589599999999,0.1382778266666666,-3.44394789e-05,1.5154026e-05,0.4218750515714285,130138.93,13270.477685714286,2.7255633057142857e-07,3.3694891714285714e-06,53.813770857142856,7.765311142857141e-06,4.982058164285714e-05,7.713920534285714e-07,215.55170285714289,44.36278271428571,-10.159829295714284,0.0317586021428571,-1.043126835714286e-05,-4.4853015e-06,233288.64,23788.82085,7.0611454e-06,5.5101191e-05,0.893488565,3.070505075e-06,218.0104875,6.56097085,2.50063675,0.0008318325,-6.3930000000000005e-06,-4.348640000000001e-06,328263.9,33473.602093333335,1.3376036666666668e-05,0.0004176013333333,0.0419353643333333,3.378157066666666e-06,231.96490333333333,1.4669313620000002,4.7826001,-0.001324181,-7.611721466666667e-06,1.5309338e-05,442033.88,45074.91141,6.3720035e-06,0.003586392,0.000496549,3.75749005e-06,259.33043999999995,10.6826475,10.7092235,-0.000542091,2.04093975e-06
-79.48012822186821,0.0902828,-0.87026733,283.64502,302.8081,101066.5,100040.44,271.45996,271.45996,271.45972,303.86768,0.2352317,-1.1284323,0.11872363,-1.1015158,3.3144665,-5.446068,-48.53981,0.19449365,0.17571753,0.06746435,0.063471794,8696.176,1.0,0.0,0.0,1.0,0.0679577,0.0,-1.1214333e-06,1.3286253e-06,2.7764053,-0.001349729,0.07747465,0.000869751,0.0,0.0,0.0,0.0,0.0,-1812.188,-8.945497,0.0022618396,8.206768e-05,5.5448552e-09,2142.7112,498.13013,17299765000.0,35609290000.0,144664460.0,154837.12,0.057495523,53177643000.0,48.90547,1834.825,3228256.0,10192.301,-0.0012933239,-3026741500.0,-10584418000.0,-27984868.0,-42753.336,0.010280069,-13720548000.0,-32.258286,2635355400.0,2676162600.0,2609596.0,2625805000.0,2679367700.0,642.3108,0.018000498,0.075228035,32.435608,0.13611346,0.495744,0.061114077,0.0017217272,-7.213575e-05,-0.037370335,11.412995,-0.8950102,-0.89500403,0.0,0.0062400997,0.0,16.463837,16.334534,36.79356,39.700943,45.20514,3638.284,0.0,2135302.0,216493.88,-751035.0,1721432.0,2231948.0,-429569.94,-474716.62,-215934.12,2580114.0,1997728.0,1221349.0,1302458.0,3533878.0,2523464.0,2994185.0,-664078.4,-1059210.0,867104.5,0.0,0.0,0.0,-0.09538609,7123.6797,1.0693598,44.67546,37.687363,-0.56293744,-69.15654,3.9404094166666665e-06,0.0,47704.09176666667,4864.46357983,1.1155998350000001e-07,1.8282230316666666e-07,13.95076085,1.1924710999999998e-07,0.0,0.0014943701925,0.0,7.4710848e-06,266.77830166666666,5.443840139333333,-6.434328983333334,0.2080471838333333,-3.424344891666667e-05,4.490415685714286e-06,0.4020077658571429,130171.91928571428,13273.841655714286,2.7275137357142855e-07,3.206792182857143e-06,54.78663228571429,6.716461942857143e-06,5.332296611428572e-05,6.334796714285714e-07,215.57632571428573,46.06619285714286,-10.2853033,0.0351232472857142,-1.1762531857142856e-05,-9.69296e-07,233257.5775,23785.65336,7.0126765e-06,5.490138925e-05,0.928365085,3.069786525e-06,217.7857175,6.918275250000001,2.588377,-0.003821541,-6.11132375e-06,-3.6105023333333328e-06,328227.12666666665,33469.852256666665,1.3386891666666664e-05,0.0004294589999999,0.042643605,3.3763950666666667e-06,231.85855666666663,1.9648691666666669,5.074831233333334,-0.0004715823333333,-7.049999999999999e-06,7.540248000000001e-06,442057.62,45077.33222,6.4022205000000005e-06,0.0034001544999999,0.0005076155,3.74900355e-06,259.241815,11.4308245,9.388183,-0.0002006665,-5.16e-06
-79.38891688503998,-0.22139043,-0.51917523,283.56934,302.95386,101026.69,100001.56,271.45996,271.45996,271.45972,303.47192,-0.14527279,-0.69144243,-0.24667937,-0.72762305,2.7728014,-5.4455853,-31.646591,0.19445401,0.17570043,0.06748426,0.06349152,8253.535,1.0,0.0,0.0,1.0,0.047139507,0.0,-7.3702613e-06,5.601288e-07,2.003007,0.00044250488,0.010685053,0.00062561035,0.0,0.0,0.0,0.0,0.0,-1543.8608,37.098465,-0.00019969547,4.716366e-05,2.7580656e-09,1014.3159,-347.22803,18016774000.0,36376277000.0,167402430.0,158781.44,0.058274347,54678233000.0,48.187424,1536.0039,3463387.0,10188.332,-0.00075621926,-2494440700.0,-8435018000.0,-22340276.0,-34301.418,0.009217326,-11008987000.0,-23.20169,2636190500.0,2677121500.0,2610415.0,2626660400.0,2680603000.0,680.4783,0.01799905,0.0,37.43965,0.13611346,0.49575227,0.047408935,-0.013319705,-6.372231e-05,-0.013676032,10.639997,-0.89708996,-0.8956742,0.0,0.0062282532,0.0,16.475586,16.386902,37.117027,40.536606,51.270935,3675.1782,0.0,1944978.0,201785.75,-690555.6,1519414.0,2051685.0,-412442.0,-462966.3,-145946.06,2372690.0,1764232.0,1229116.0,1315694.0,3299461.0,2284565.0,2780222.0,-664852.3,-1054003.0,688203.7,0.0,0.0,0.0,0.2032702,5226.3633,-0.15156132,21.624756,3.9818563,-0.104079425,-16.194168,8.856527166666668e-06,0.0,47707.01776666666,4864.761949063333,1.1114370166666668e-07,1.936658866666667e-07,15.716609999999998,5.9602806666666683e-08,0.0,0.0014928793991666,0.0,5.9408355e-06,266.9944366666667,4.916789401666667,-5.31481281,0.1725833071666666,-3.4472704000000004e-05,5.648198571428568e-07,0.4321481938571428,130269.86642857142,13283.829485714286,2.652933257142857e-07,2.760759675e-06,59.76751957142857,6.921695508571429e-06,6.136183308571429e-05,6.830284e-07,215.6486142857143,48.85877285714286,-8.391396128571428,0.0003854951428571,-5.061326857142857e-05,-2.1831423e-06,233304.25,23790.4126275,7.0107349e-06,5.511095825e-05,0.9571000525,3.069860675e-06,217.7803475,6.498640525,2.4962728,0.001193813,-6.363729875e-06,8.168824666666666e-06,328373.3133333333,33484.75915,1.34134345e-05,0.0004351803333333,0.0421219613333333,3.3744503e-06,231.6576333333333,3.536750166666667,4.976187666666667,-0.001371366,-4.021476066666667e-06,-1.25e-05,442396.18,45111.85573,6.3591335e-06,0.0032489075,0.0004877905,3.744468e-06,260.18139499999995,10.2718425,10.0740583,-0.000165933,-8.85e-06
-79.45422057633071,-0.09645516,0.2940436,283.89453,302.72705,101011.56,99986.56,271.45972,271.4602,271.45972,302.08472,0.006382145,0.28920728,-0.13896936,0.35903525,2.2818909,-5.4457436,1.26509,0.19442183,0.17567122,0.06750727,0.063508034,7848.668,1.0,0.0,0.0,1.0,0.077534854,0.0,-1.1389407e-05,-4.6163984e-07,3.4389505,0.0012359619,0.034758817,0.0010681152,0.0,0.0,0.0,0.0,0.0,423.0415,95.2336,-0.0031455995,-3.4177545e-05,-4.372687e-09,-1321.4072,-874.2927,17864080000.0,35971660000.0,159669120.0,156902.19,0.058773555,54133500000.0,54.795258,-421.875,3342369.0,10186.934,0.0007651723,-1692118700.0,-5589438500.0,-10488527.0,-22928.547,0.007930391,-7313777700.0,-9.170162,2636377000.0,2677804300.0,2610546.0,2626820600.0,2681142000.0,630.93604,0.01800007,0.6758047,532.1575,0.13611346,0.4957496,0.03826831,-0.0029273557,-4.125596e-05,0.0143227205,13.82848,0.023252469,0.024482626,0.0,0.006228205,0.0,16.742584,16.59024,37.493145,567.3093,640.91406,3638.1836,0.0,1557381.0,158910.5,-546256.5,1190943.0,1685732.0,-364822.8,-435358.3,-88748.875,1951122.0,1380696.0,1238859.0,1341983.0,2827782.0,1862073.0,2351934.0,-632610.06,-1038295.7,426692.25,0.0,0.0,0.0,-0.012386773,4908.7617,-0.8710938,-40.487793,3.441287,0.35685807,-15.340014,1.5137880033333337e-05,0.0,47690.74477666667,4863.102565771666,1.1065702733333333e-07,2.4876048438333336e-07,17.929817783333334,5.524675483333333e-07,0.0,0.001531601815,0.0,9.0686442e-06,266.90877166666667,4.117544551666667,-4.405652913333333,-0.0421343398333333,-3.658957495e-05,7.061058685714286e-06,0.5176396771428572,130316.64214285716,13288.599284285714,2.653026871428572e-07,2.633778648857143e-06,64.55220614285714,1.878138817142857e-05,6.802928885714286e-05,4.460401814285714e-06,215.76695285714283,48.53132828571428,-4.790981299999999,-0.0930707997142857,-5.02449255e-05,-6.9205e-06,233328.4075,23792.87601,7.05381945e-06,5.57925165e-05,0.9542495825,3.071335225e-06,218.1941675,5.737868275,1.97718575,0.005506754,-7.9838275e-06,8.934303166666667e-06,328394.3333333333,33486.90259333333,1.33964315e-05,0.000439607,0.0449133866666666,3.3720841e-06,231.72396333333336,4.884768766666666,3.445562066666667,-0.000126458,-5.960560966666667e-06,-8.335721000000001e-06,442531.94,45125.6994,6.3681718500000005e-06,0.0031842855,0.00050528,3.73707925e-06,260.34839,10.9252676,11.683766,-0.0001199439999999,-8.83e-06
-79.44564270642343,-0.11342907,0.82788765,286.08398,300.49365,101081.19,100055.44,271.4602,271.45972,271.45972,299.82495,-0.015049275,1.4093304,-0.0985654,0.7519295,2.0665789,-5.4460516,5.8864956,0.19437742,0.17563891,0.067527235,0.063530624,7657.172,1.0,0.0,0.0,1.0,0.08270985,0.0,-7.90036e-06,-9.2475534e-07,3.8103218,-0.00038146973,0.14638096,0.00035095215,0.0,0.0,0.0,0.0,0.0,-435.6565,85.93164,-0.00067739864,6.37917e-05,1.5335026e-08,165.39362,-206.21056,17546170000.0,35281326000.0,153880750.0,153670.0,0.05748775,53137412000.0,62.911194,405.3457,3234284.0,10193.797,0.0009765439,-1230499200.0,-3348653000.0,-4456378.0,-14301.16,0.00577135,-4574082600.0,3.8760138,2638823400.0,2680529700.0,2612947.0,2629286400.0,2683775500.0,232.37254,0.018000267,5.6560345,166.96269,0.13611346,0.49574268,0.06677258,-0.0016516226,-1.4387099e-05,0.0131477155,14.70901,0.1781925,0.24192578,0.0,0.00621216,0.0,16.882431,16.697266,37.777916,167.43791,211.76822,3637.4395,0.0,1043780.9,108307.94,-311501.12,684172.8,1190076.0,-306969.06,-414246.8,9719.074,1381292.0,795412.4,1237342.0,1358433.0,2150945.0,1178995.0,1740887.0,-554106.94,-1030136.1,81578.25,0.0,0.0,0.0,-0.035358652,4818.6094,-6.026146,-2.9158554,50.287094,27.728806,58.455246,9.8542778e-06,0.0007822656666666,47734.327725,4867.546789808333,1.1014958483333333e-07,4.35401274e-07,21.03659785,7.946906966666666e-07,0.0,0.0017243684325,0.0,1.3117800558333333e-05,266.65976666666666,2.85839698,-3.3632629166666668,0.0497552333333333,-3.1634261166666665e-05,1.7462688742857143e-05,0.5415215142857143,130425.5,13299.699694285711,2.517717594285714e-07,2.5554850717142856e-06,64.46439,2.2010131642857145e-05,7.198926498571428e-05,5.337325903857143e-06,215.89903,48.06874757142857,-3.312976044285714,-0.0945969692857142,-4.975714285714286e-05,-1.45815845e-05,233498.485,23810.2190875,7.12559305e-06,5.66452005e-05,0.9108915225,3.073125975e-06,218.80294,5.334654775,1.7924560125,0.0043792985,-8.4725e-06,4.004305666666666e-07,328572.51333333337,33505.07189666667,1.3381259e-05,0.0004475976666666,0.044318814,3.371757333333333e-06,232.37848666666665,5.7903081,1.5965122273333332,0.0005208086666666,-5.664965633333333e-06,1.6271435e-06,442795.29,45152.553625,6.3633975e-06,0.0032023825,0.0005102349999999,3.7296517e-06,260.4823,14.441215,10.3200815,-0.0001976525,-7.445e-06
-79.56870132876553,-0.18047053,1.5162153,288.18384,299.41064,101081.44,100055.69,271.45996,271.45947,271.45996,296.87207,0.022437755,1.7683706,-0.05264129,0.43419254,2.0284815,-5.4462414,2.4626064,0.19435,0.17561442,0.06755024,0.063550174,7568.051,1.0,0.0,0.0,1.0,0.11616421,0.0,-1.0741719e-05,-5.6009617e-07,5.1198244,-0.0013275146,0.59221804,0.0013427734,0.0,0.0,0.0,0.0,0.0,-860.78735,135.8659,-0.0004888852,6.520067e-05,2.7781746e-09,246.98444,-303.59302,16913366000.0,33836466000.0,138783090.0,147397.06,0.054547437,51049110000.0,65.13364,818.4116,3016277.0,10193.758,0.00060510193,-429466850.0,-751319600.0,3154562.0,-3788.8123,0.0045022927,-1154913900.0,9.910309,2639365000.0,2680798500.0,2613540.0,2629820700.0,2683822800.0,52.44693,0.017999958,5.6061544,-9.536743e-07,0.13611346,0.49574107,0.032134265,-0.00014623106,-3.0600386e-06,0.00878391,14.745566,0.2630753,0.40201247,0.0,0.00617975,0.0,16.853836,16.590149,38.187496,-9.536743e-07,47.612534,3640.6335,0.0,480746.56,44296.438,-101752.75,338513.12,620998.6,-275632.06,-386425.06,20386.133,727838.6,394535.56,1227960.0,1344432.0,1314952.0,636205.06,1006421.4,-547488.94,-1018228.44,28987.531,0.0,0.0,0.0,0.1215564,4914.301,-10.335617,-3.027707,216.87177,103.56242,43.1183,1.5377129999999948e-07,0.002345557,47740.23285666667,4868.148945625,1.0985800733333333e-07,5.785960883333334e-07,24.0157976,4.4896505e-07,0.0,0.0018123896666666,0.0,1.911462556e-05,266.59121,1.9703878291666663,-2.1318494616666666,0.1402686266666666,-3.1558072383333334e-05,2.2385319000000003e-05,0.5312519928571429,130463.40142857144,13303.564564285714,2.4036976e-07,2.535905079e-06,64.29043514285715,2.339909085714286e-05,7.268810044285715e-05,5.049335821428572e-06,215.9403457142857,46.54757685714286,-1.351410214285714,-0.0937832942857142,-4.872285714285714e-05,-6.57e-06,233579.905,23818.521615,7.116342425e-06,5.68764195e-05,0.8745998374999999,3.0718036e-06,218.83103,5.30155875,1.8761979,-0.00049674225,-5.305e-06,-2.230841e-06,328618.78,33509.78978333333,1.3380731e-05,0.0004550986666666,0.0430425483333333,3.370863533333333e-06,232.67487,5.5846071,-0.0237896566666666,0.0005504687746666,-4.81e-06,-5.931845000000006e-07,442790.18,45152.03255,6.3548525e-06,0.0032469244999999,0.0005241569999999,3.7223281e-06,260.324095,16.5585095,7.4506283,5.5718e-05,-6.945e-06
