d,cc,z,tall,o3,pv,r,ciwc,clwc,q,crwc,cswc,t,u,v,w,vo
1.58971525e-06,0.0,47575.78532666666,4851.379964183333,1.3172557766666665e-07,3.393342666666667e-07,18.18404613333333,0.0,0.0,0.001653457354,0.0,3.1804641666666665e-08,265.11736,10.895490003333334,-9.814423333333334,0.37637455,9.128478666666669e-06
2.6125983e-06,0.0,47621.09112333334,4855.999869776667,1.26656715e-07,3.521131133333333e-07,16.420831466666666,0.0,0.0,0.0017160917613333,0.0,1.1129825e-07,265.39206,9.209608206666667,-9.884291066666666,0.3122756956666667,4.370358e-06
3.8072627833333335e-06,0.0,47643.63384333334,4858.298587541666,1.1932536333333334e-07,2.76428555e-07,14.33843905,0.0,0.0,0.0016419106349999,0.0,2.385186416666667e-07,265.81860666666665,7.69450526,-9.59691875,0.21387423,-1.0217130333333333e-05
-1.050169708333333e-06,0.0,47706.49677666667,4864.708822716667,1.1439602583333337e-07,2.1418193333333338e-07,13.139763466666668,0.0,0.0,0.0015742215638333,0.0,1.2480045500000002e-06,266.29616000000004,6.598733931666668,-8.626306833333333,0.205798448,-2.7588012e-05
-5.626144016666673e-07,0.0,47708.03773333333,4864.86595643,1.123830106666667e-07,1.885783241666667e-07,12.980272416666663,0.0,0.0,0.0015270950743333,0.0,3.2311496016666667e-06,266.56292833333333,5.838636978333334,-7.544589599999999,0.1382778266666666,-3.44394789e-05
3.9404094166666665e-06,0.0,47704.09176666667,4864.46357983,1.1155998350000001e-07,1.8282230316666666e-07,13.95076085,1.1924710999999998e-07,0.0,0.0014943701925,0.0,7.4710848e-06,266.77830166666666,5.443840139333333,-6.434328983333334,0.2080471838333333,-3.424344891666667e-05
8.856527166666668e-06,0.0,47707.01776666666,4864.761949063333,1.1114370166666668e-07,1.936658866666667e-07,15.716609999999998,5.9602806666666683e-08,0.0,0.0014928793991666,0.0,5.9408355e-06,266.9944366666667,4.916789401666667,-5.31481281,0.1725833071666666,-3.4472704000000004e-05
1.5137880033333337e-05,0.0,47690.74477666667,4863.102565771666,1.1065702733333333e-07,2.4876048438333336e-07,17.929817783333334,5.524675483333333e-07,0.0,0.001531601815,0.0,9.0686442e-06,266.90877166666667,4.117544551666667,-4.405652913333333,-0.0421343398333333,-3.658957495e-05
9.8542778e-06,0.0007822656666666,47734.327725,4867.546789808333,1.1014958483333333e-07,4.35401274e-07,21.03659785,7.946906966666666e-07,0.0,0.0017243684325,0.0,1.3117800558333333e-05,266.65976666666666,2.85839698,-3.3632629166666668,0.0497552333333333,-3.1634261166666665e-05
1.5377129999999948e-07,0.002345557,47740.23285666667,4868.148945625,1.0985800733333333e-07,5.785960883333334e-07,24.0157976,4.4896505e-07,0.0,0.0018123896666666,0.0,1.911462556e-05,266.59121,1.9703878291666663,-2.1318494616666666,0.1402686266666666,-3.1558072383333334e-05
